name,user_score,critics,users,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing,released_year,released_month,released_day,updated_year,updated_month,updated_day,is_in_top_100_publisher,is_in_top_100_developer,genery,platform,publisher,developer
The Legend of Zelda: Ocarina of Time,9.1,22,5749,4.39,5,7,0,553,349,19,559,42,267,488,102,108,26,1998,11,21,2019,12,28,1,1,Action Adventure,Wii U,Nintendo,Nintendo
Tony Hawk's Pro Skater 2,7.4,19,647,4.37,5,0,0,258,423,4,259,8,100,197,10,84,4,2000,9,19,2019,10,27,1,0,Sports,Dreamcast,Activision Blizzard,Aspyr Media
Grand Theft Auto IV,7.6,64,3806,4.24,4,9,174,1858,509,9,1872,201,5541,1659,122,625,64,2008,4,29,2020,8,3,0,0,Action Adventure,PC,Capcom,Rockstar North
Grand Theft Auto IV,7.9,86,3364,4.24,4,9,174,1858,509,9,1872,201,5541,1659,122,625,64,2008,4,29,2020,8,3,0,0,Action Adventure,PC,Capcom,Rockstar North
Super Mario Galaxy,9.0,73,3059,4.39,5,28,0,474,332,17,479,42,189,430,71,76,28,2007,11,12,2020,9,5,1,1,Action,Nintendo Switch,Nintendo,Nintendo
Super Mario Galaxy 2,9.1,87,2521,4.36,5,18,0,248,328,17,252,46,104,239,67,43,12,2010,5,23,2019,9,17,1,1,Action,Wii,Nintendo,Nintendo
Red Dead Redemption 2,7.8,33,3186,4.57,5,20,118,2949,645,3,3005,492,4745,1580,1231,283,644,2018,10,26,2020,11,23,1,0,Action Adventure,PC,Rockstar Games,Rockstar Games
Grand Theft Auto V,7.8,14,1285,4.48,5,69,369,4289,426,9,4334,331,8298,3533,377,641,497,2013,9,17,2020,9,23,0,0,Action Adventure,PC,Rockstar Games,Rockstar North
Grand Theft Auto V,8.3,50,4568,4.48,5,69,369,4289,426,9,4334,331,8298,3533,377,641,497,2013,9,17,2020,9,23,0,0,Modern,PC,Rockstar Games,Rockstar North
Grand Theft Auto V,8.3,58,3905,4.48,5,69,369,4289,426,9,4334,331,8298,3533,377,641,497,2013,9,17,2020,9,23,0,0,Modern,PC,Rockstar Games,Rockstar North
Tony Hawk's Pro Skater 2,6.2,18,88,4.37,5,0,0,258,423,4,259,8,100,197,10,84,4,2000,9,19,2019,10,27,1,0,Sports,Dreamcast,Activision Blizzard,Aspyr Media
The Legend of Zelda: Breath of the Wild,8.6,109,15873,4.56,5,121,0,1911,338,19,1952,190,841,1362,515,229,559,2017,3,2,2020,11,29,1,1,Action Adventure,Nintendo Switch,Nintendo,Nintendo
Tony Hawk's Pro Skater 3,7.6,34,406,4.23,4,5,0,93,400,4,94,4,44,88,3,43,1,2001,10,28,2020,8,6,1,0,Sports,Xbox,Activision Blizzard,Gearbox Software
Perfect Dark,8.9,30,420,3.99,5,10,20,121,581,3,122,31,503,58,21,35,2,2000,5,22,2020,8,3,0,0,Action,Xbox One,Microsoft Studios,Rare
Red Dead Redemption 2,8.4,99,14315,4.57,5,20,118,2949,645,3,3005,492,4745,1580,1231,283,644,2018,10,26,2020,11,23,1,0,Action Adventure,PC,Rockstar Games,Rockstar Games
Grand Theft Auto V,8.4,66,5899,4.48,5,69,369,4289,426,9,4334,331,8298,3533,377,641,497,2013,9,17,2020,9,23,0,0,Action Adventure,PC,Rockstar Games,Rockstar North
Metroid Prime,9.2,70,1113,4.38,5,2,0,166,375,2,167,38,85,121,58,43,10,2002,11,17,2019,9,17,1,0,Action,Wii,Nintendo,Retro Studios
Grand Theft Auto III,8.4,56,881,4.16,4,1,22,993,456,9,998,170,2883,936,59,397,31,2001,10,22,2020,7,4,0,0,Action Adventure,PC,Capcom,Rockstar North
Super Mario Odyssey,8.9,113,5546,4.43,5,0,0,1257,468,17,1282,98,478,1183,351,100,211,2017,10,26,2019,11,19,1,1,Action,Nintendo Switch,Nintendo,Nintendo
Halo: Combat Evolved,8.5,68,2052,4.34,5,1,0,260,566,14,267,14,87,328,34,33,7,2001,11,15,2019,9,17,1,1,Action,PC,Microsoft Studios,Gearbox Software
Half-Life 2,9.1,81,10773,4.5,5,7,33,2516,581,2,2526,393,5966,2317,164,303,68,2004,11,16,2019,9,17,1,0,Action,Android,Valve,Valve Software
Grand Theft Auto V,7.8,57,6661,4.48,5,69,369,4289,426,9,4334,331,8298,3533,377,641,497,2013,9,17,2020,9,23,0,0,Modern,PC,Rockstar Games,Rockstar North
The Legend of Zelda: Breath of the Wild,8.2,13,2245,4.56,5,121,0,1911,338,19,1952,190,841,1362,515,229,559,2017,3,2,2020,11,29,1,1,Fantasy,Nintendo Switch,Nintendo,Nintendo
BioShock,8.9,88,2572,4.39,5,3,375,2295,654,4,2318,394,6007,2126,177,443,86,2007,8,21,2020,8,3,0,0,Action,Xbox One,2K Games,Digital Extremes
Uncharted 2: Among Thieves,8.8,105,6716,4.38,5,13,71,1234,655,6,1245,84,1243,1409,101,50,27,2009,10,13,2020,8,1,1,0,Action Adventure,PlayStation 4,Sony Computer Entertainment,Naughty Dog
Resident Evil 4,9.2,82,1596,4.37,5,5,60,1091,501,22,1099,203,2415,923,152,161,42,2005,1,11,2020,9,30,0,0,Action Adventure,Xbox 360,Ubisoft Entertainment,Capcom
The Orange Box,8.8,54,879,4.52,5,6,99,252,617,0,252,17,762,173,5,37,2,2008,1,1,2020,9,18,1,1,Action,PC,Electronic Arts,Valve Software
The Orange Box,9.2,34,1804,4.52,5,6,99,252,617,0,252,17,762,173,5,37,2,2008,1,1,2020,9,18,1,1,Action,PC,Electronic Arts,Valve Software
Batman: Arkham City,8.8,42,2773,4.41,5,21,205,1380,619,4,1391,192,2548,1421,100,152,31,2011,10,18,2020,8,30,1,0,Action Adventure,macOS,Warner Bros. Interactive,Warner Bros. Interactive
Tekken 3,9.1,15,660,4.4,5,1,0,315,426,6,316,7,101,296,9,80,1,1997,3,20,2019,10,30,0,1,Action,PlayStation,Namco,NAMCO
Mass Effect 2,8.9,98,3503,4.47,5,21,121,2046,624,5,2061,300,3659,2016,179,156,34,2010,1,26,2020,8,7,1,1,Role-Playing,Xbox One,Electronic Arts,BioWare
The Legend of Zelda: Twilight Princess,8.9,16,823,4.39,5,60,0,314,522,19,318,52,136,341,74,73,26,2006,11,19,2019,9,17,1,1,Action Adventure,Wii,Nintendo,Nintendo
The Elder Scrolls V: Skyrim,8.6,89,3954,4.42,5,44,302,3033,625,8,3053,299,6716,2313,246,801,271,2011,11,11,2020,7,6,1,1,Role-Playing,PC,Bethesda Softworks,Bethesda Softworks
Half-Life,9.0,24,4321,4.38,5,3,0,1423,514,2,1433,217,4148,1438,93,288,33,1998,11,19,2020,6,24,1,1,Action,PC,Valve,Valve Software
Resident Evil 4,9.0,38,1628,4.37,5,5,60,1091,501,22,1099,203,2415,923,152,161,42,2005,1,11,2020,9,30,0,0,Action Adventure,Xbox 360,Ubisoft Entertainment,Capcom
The Legend of Zelda: The Wind Waker,9.0,80,1370,4.36,5,37,0,322,266,19,324,29,162,268,68,54,11,2002,12,13,2019,9,17,1,1,Action Adventure,GameCube,Nintendo,Nintendo
Gran Turismo,8.7,16,269,4.32,4,0,0,74,308,7,74,3,28,58,2,53,1,1997,12,22,2020,5,28,1,0,Driving,PlayStation,Sony Computer Entertainment,Sony Interactive Entertainment
BioShock,8.6,44,4814,4.39,5,3,375,2295,654,4,2318,394,6007,2126,177,443,86,2007,8,21,2020,8,3,0,0,Action,Xbox One,2K Games,Digital Extremes
Metal Gear Solid 2: Sons of Liberty,8.8,42,1545,4.37,5,12,0,330,194,0,333,43,127,345,58,29,4,2001,11,12,2019,9,17,1,0,Action Adventure,PS Vita,Konami,Kojima Productions
Baldur's Gate II: Shadows of Amn,9.1,30,1433,4.3,5,1,0,103,545,0,106,18,47,75,31,20,6,2000,9,21,2019,9,17,1,1,Role-Playing,Android,Interplay Productions,BioWare
Grand Theft Auto: San Andreas,9.1,80,2444,4.5,5,2,77,2183,486,9,2188,183,3934,1934,95,547,76,2004,10,26,2020,8,14,0,0,Action Adventure,Xbox,Capcom,Rockstar North
Grand Theft Auto: Vice City,8.8,62,1092,4.43,5,2,30,1829,382,9,1835,166,3381,1701,75,431,32,2002,10,27,2020,7,4,0,0,Action Adventure,macOS,Capcom,Rockstar North
LittleBigPlanet,6.8,85,5533,4.05,4,5,66,455,502,4,455,27,1436,363,26,165,11,2008,10,27,2020,1,7,1,0,Action,PSP,Sony Computer Entertainment,Sony Interactive Entertainment
Red Dead Redemption,8.9,73,3371,4.41,5,7,167,1548,525,3,1557,195,3274,1136,245,277,56,2010,5,18,2020,8,3,1,0,Action,Xbox One,Rockstar Games,Rockstar North
Halo 2,8.4,91,1656,4.4,5,8,0,230,594,14,233,33,99,264,41,30,5,2004,11,9,2019,10,6,1,0,Action,Xbox One,Microsoft Studios,Microsoft Game Studios
The Legend of Zelda: A Link to the Past,9.0,30,524,4.37,5,28,0,398,268,19,403,80,182,332,77,114,41,1991,11,21,2019,9,17,1,1,Action Adventure,Nintendo 3DS,Nintendo,Nintendo
The Legend of Zelda: Majora's Mask,9.2,27,1198,4.33,5,23,0,301,412,19,304,54,170,257,90,63,13,2000,4,27,2019,9,17,1,1,Action Adventure,Nintendo 64,Nintendo,Nintendo
The Legend of Zelda: Twilight Princess,8.9,73,2060,4.39,5,60,0,314,522,19,318,52,136,341,74,73,26,2006,11,19,2019,9,17,1,1,Action Adventure,Wii,Nintendo,Nintendo
Madden NFL 2003,7.5,25,66,0.0,0,0,0,2,354,0,2,1,3,1,2,3,0,2002,8,12,2019,9,12,1,0,Sports,PC,Electronic Arts,Electronic Arts Tiburon
Tony Hawk's Pro Skater 2,6.8,16,38,4.37,5,0,0,258,423,4,259,8,100,197,10,84,4,2000,9,19,2019,10,27,1,0,Sports,Dreamcast,Activision Blizzard,Aspyr Media
Persona 5 Royal,8.2,71,2593,4.81,5,0,86,118,273,10,123,52,454,88,263,8,77,2020,3,31,2020,9,10,0,1,Role-Playing,PlayStation 4,SEGA,Atlus
Portal 2,9.1,52,7482,4.61,5,11,152,3613,589,2,3645,386,7506,3414,211,324,97,2011,4,18,2020,8,3,0,1,Action,Xbox One,Electronic Arts,Valve Software
Red Dead Redemption,9.0,96,2847,4.41,5,7,167,1548,525,3,1557,195,3274,1136,245,277,56,2010,5,18,2020,8,3,1,0,Action,Xbox One,Rockstar Games,Rockstar North
Portal 2,8.7,66,1073,4.61,5,11,152,3613,589,2,3645,386,7506,3414,211,324,97,2011,4,18,2020,8,3,0,1,Action,Xbox One,Electronic Arts,Valve Software
Metal Gear Solid V: The Phantom Pain,7.4,10,1173,4.17,5,28,151,1785,527,6,1795,493,5157,1092,274,570,219,2015,9,1,2020,11,30,1,1,Modern,PC,Konami,Konami Digital Entertainment
Portal 2,8.5,54,1030,4.61,5,11,152,3613,589,2,3645,386,7506,3414,211,324,97,2011,4,18,2020,8,3,0,1,Action,Xbox One,Electronic Arts,Valve Software
World of Goo,8.7,21,378,4.01,4,1,16,558,188,0,560,117,2237,456,29,246,17,2008,10,13,2019,9,17,0,0,Miscellaneous,macOS,Tomorrow,2D BOY
The Elder Scrolls V: Skyrim,8.3,32,11301,4.42,5,44,302,3033,625,8,3053,299,6716,2313,246,801,271,2011,11,11,2020,7,6,1,1,Role-Playing,PC,Bethesda Softworks,Bethesda Softworks
BioShock Infinite,8.5,27,2207,4.39,5,12,370,2769,599,4,2790,493,6242,2820,238,297,67,2013,3,26,2020,8,3,1,0,Action,PC,2K Games,Aspyr Media
Final Fantasy IX,9.0,22,1280,4.37,5,6,188,380,1076,16,384,91,697,329,84,67,32,2000,7,7,2020,8,3,0,0,Role-Playing,PlayStation 3,Electronic Arts,Sony Interactive Entertainment
Call of Duty: Modern Warfare 2,6.6,67,2362,4.25,4,25,151,1301,657,24,1304,54,3075,1521,48,116,23,2009,11,10,2019,9,17,1,0,Action,PC,Activision Blizzard,Aspyr Media
God of War,9.2,118,16298,4.6,5,20,23,2904,629,9,2954,389,4241,2141,813,140,285,2018,4,20,2020,5,14,1,0,Action Adventure,PlayStation 4,Sony Interactive Entertainment,SCE Santa Monica Studio
Tony Hawk's Pro Skater 4,8.4,27,182,4.27,4,40,0,104,427,4,104,6,39,97,7,45,4,2002,10,23,2019,9,17,0,0,Sports,PC,Activision Blizzard,Vicarious Visions
Devil May Cry,8.6,37,790,4.1,4,0,34,225,611,7,227,38,226,233,38,37,12,2001,8,23,2020,6,17,1,1,Action Adventure,Xbox One,Capcom,Capcom
Call of Duty 4: Modern Warfare,8.4,44,1170,4.39,5,6,0,1026,600,24,1032,28,873,1333,36,74,15,2007,11,5,2020,9,30,0,0,Action,PC,Square Enix,Raven Software
Madden NFL 2002,7.3,23,49,0.0,0,0,0,1,417,0,1,0,4,1,2,3,0,2001,8,1,2019,8,28,1,0,Sports,PC,Electronic Arts,Electronic Arts Tiburon
Batman: Arkham City,8.7,87,1682,4.41,5,21,205,1380,619,4,1391,192,2548,1421,100,152,31,2011,10,18,2020,8,30,1,0,Action Adventure,macOS,Warner Bros. Interactive,Warner Bros. Interactive
Mass Effect 2,8.9,55,4972,4.47,5,21,121,2046,624,5,2061,300,3659,2016,179,156,34,2010,1,26,2020,8,7,1,1,Role-Playing,Xbox One,Electronic Arts,BioWare
Chrono Cross,8.8,16,412,4.39,5,42,0,92,358,1,94,23,37,67,32,23,9,1999,11,18,2019,11,5,0,0,Role-Playing,PlayStation,Electronic Arts,Square
Celeste,7.1,10,268,4.39,5,6,35,993,394,0,1026,338,1206,675,357,238,217,2018,1,25,2019,10,21,0,0,Action,macOS,Matt Makes Games,Matt Makes Games
BioShock,8.8,51,1136,4.39,5,3,375,2295,654,4,2318,394,6007,2126,177,443,86,2007,8,21,2020,8,3,0,0,Action,Xbox One,2K Games,Digital Extremes
Mass Effect 2,8.6,62,1243,4.47,5,21,121,2046,624,5,2061,300,3659,2016,179,156,34,2010,1,26,2020,8,7,1,1,Role-Playing,Xbox One,Electronic Arts,BioWare
Grand Theft Auto: Vice City,8.8,30,2435,4.43,5,2,30,1829,382,9,1835,166,3381,1701,75,431,32,2002,10,27,2020,7,4,0,0,Action Adventure,macOS,Capcom,Rockstar North
Madden NFL 2004,8.2,29,147,0.0,4,0,0,5,342,0,5,0,4,5,1,3,0,2003,8,12,2019,8,28,1,0,Sports,PC,Electronic Arts,Electronic Arts Tiburon
Gears of War,8.3,88,2653,4.12,4,7,57,574,666,10,578,57,1473,552,38,117,13,2006,11,8,2020,8,3,1,0,Action,Xbox One,Microsoft Studios,Epic Games
The Elder Scrolls IV: Oblivion,8.7,90,1257,4.32,5,4,60,558,562,8,561,54,1339,477,46,184,26,2006,3,20,2020,8,3,0,1,Role-Playing,Xbox One,2K Games,Bethesda Softworks
Quake,8.8,9,813,4.29,4,1,0,243,492,6,246,37,926,237,17,66,5,1996,6,22,2020,10,31,0,0,Action,SEGA Saturn,Bethesda Softworks,id Software
Call of Duty 4: Modern Warfare,8.5,70,1467,4.39,5,6,0,1026,600,24,1032,28,873,1333,36,74,15,2007,11,5,2020,9,30,0,0,Action,PC,Square Enix,Raven Software
BioShock Infinite,8.6,68,8729,4.39,5,12,370,2769,599,4,2790,493,6242,2820,238,297,67,2013,3,26,2020,8,3,1,0,Action,PC,2K Games,Aspyr Media
Ninja Gaiden Black,8.8,32,177,4.4,5,0,0,10,827,0,10,3,7,10,8,8,0,2005,9,20,2020,8,7,0,0,Action Adventure,Xbox One,Tecmo,Koei Tecmo
The Elder Scrolls IV: Oblivion,8.1,54,3069,4.32,5,4,60,558,562,8,561,54,1339,477,46,184,26,2006,3,20,2020,8,3,0,1,Role-Playing,Xbox One,2K Games,Bethesda Softworks
Super Mario Advance 4: Super Mario Bros. 3,8.9,25,203,4.0,4,0,0,6,50,0,6,3,8,5,3,3,0,2003,7,11,2020,4,28,1,1,Action,Game Boy Advance,Nintendo,Nintendo
Jet Grind Radio,8.1,24,89,0.0,0,0,0,2,368,0,2,2,2,1,4,1,1,2000,11,1,2019,1,9,1,0,Action,PC,SEGA,Smilebit
Metal Gear Solid,9.2,20,1584,4.44,5,1,0,737,447,6,743,72,336,636,121,73,21,1998,9,3,2020,9,25,0,0,Action Adventure,PlayStation,Microsoft Studios,Sony Interactive Entertainment
Grim Fandango,9.1,15,685,4.3,5,1,0,105,546,1,105,15,44,82,28,18,4,1998,1,1,2019,9,17,1,1,Adventure,PC,LucasArts Entertainment,LucasArts Entertainment
Tom Clancy's Splinter Cell Chaos Theory,9.0,70,218,4.34,5,2,37,298,477,6,298,63,842,334,43,60,7,2005,3,21,2020,8,7,1,0,Action Adventure,Xbox One,Ubisoft Entertainment,Ubisoft
Burnout 3: Takedown,7.7,76,182,4.36,5,23,0,98,414,3,99,9,36,92,5,40,3,2004,9,7,2019,10,31,1,1,Driving,PlayStation 2,Electronic Arts,Criterion Games
Diablo,8.7,12,1161,4.39,5,1,0,307,460,4,310,28,102,304,32,83,4,1996,12,30,2019,9,17,0,0,Role-Playing,PlayStation,Electronic Arts,Blizzard North
Metal Gear Solid 3: Subsistence,9.1,53,657,0.0,0,0,0,1,0,0,1,0,0,1,0,0,0,2005,12,22,2020,9,15,1,0,Action Adventure,PS Vita,Konami,Kojima Productions
